City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
266,Ca Mau,VN,9.1769,105.15,77.49,82,88,6.51,overcast clouds
267,Banjar,ID,-8.19,114.9675,76.64,89,85,3.31,overcast clouds
268,Severobaykalsk,RU,55.65,109.3167,5.14,87,43,6.15,scattered clouds
269,Adrar,MR,20.5022,-10.0711,94.87,7,0,19.48,clear sky
270,Severo-Kurilsk,RU,50.6789,156.125,29.08,86,22,12.39,few clouds
271,Gushikawa,JP,26.3544,127.8686,65.43,80,75,11.5,broken clouds
272,Coihueco,CL,-36.6167,-71.8333,59.74,41,0,10.36,clear sky
273,Mount Isa,AU,-20.7333,139.5,67.77,37,3,0.0,light rain
274,New Port Richey,US,28.2442,-82.7193,76.24,72,65,5.01,broken clouds
275,Lorengau,PG,-2.0226,147.2712,79.61,80,100,2.26,overcast clouds
276,Kavaratti,IN,10.5669,72.642,82.69,72,61,8.1,broken clouds
277,Kaitangata,NZ,-46.2817,169.8464,46.2,95,73,4.9,broken clouds
278,Yangjiang,CN,21.85,111.9667,62.17,63,0,4.43,clear sky
279,Nambucca Heads,AU,-30.65,153.0,65.17,93,100,9.24,light rain
280,Florida,US,28.7505,-82.5001,76.91,63,0,8.05,clear sky
281,Sovetskaya Gavan,RU,48.9723,140.2878,34.66,80,91,8.28,overcast clouds
282,Mujiayingzi,CN,42.1167,118.7833,50.68,27,17,19.77,few clouds
283,Nelson Bay,AU,-32.7167,152.15,64.0,91,100,7.0,overcast clouds
284,Moron,AR,-34.6534,-58.6198,74.95,68,83,6.6,broken clouds
285,Santiago Del Estero,AR,-27.7951,-64.2615,80.67,34,0,8.19,clear sky
286,Cam Ranh,VN,11.9214,109.1591,75.16,73,75,9.22,broken clouds
287,Camacha,PT,33.0833,-16.3333,56.62,88,75,13.8,broken clouds
288,Pokhara,NP,28.2333,83.9833,69.03,65,48,5.3,scattered clouds
289,Dobrany,CZ,49.6548,13.2931,40.14,55,75,5.01,broken clouds
290,Macaubas,BR,-13.0194,-42.6986,90.05,33,24,10.31,few clouds
291,Mayo,US,38.8876,-76.5119,61.66,45,75,30.0,broken clouds
292,Seabra,BR,-12.4186,-41.7703,86.49,34,37,12.06,scattered clouds
293,Qui Nhon,VN,13.7667,109.2333,71.42,87,100,17.02,overcast clouds
294,Areosa,PT,41.7178,-8.8571,57.74,45,34,13.62,scattered clouds
295,Gasa,PS,31.5,34.4667,67.87,69,55,8.7,broken clouds
296,Vieques,PR,18.425,-65.8329,86.49,51,40,14.97,scattered clouds
297,Zonguldak,TR,41.25,31.8333,45.72,71,54,8.9,broken clouds
298,Ormara,PK,25.2088,64.6357,77.9,71,8,8.77,clear sky
299,Chicama,PE,-7.8447,-79.1469,68.54,67,90,6.46,overcast clouds
300,Baymak,RU,52.5933,58.3225,35.26,97,100,5.93,overcast clouds
